DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
7628288,1,2,1,1,2,1,1,27,27,2.29220370151451
7628297,1,1,1,1,4,1,1,27,27,2.88475228359469
7628301,1,2,2,1,3,1,1,27,27,2.81636731055529
7628303,1,2,1,2,5,1,1,27,27,3.47806229203165
7628309,1,1,1,1,4,1,1,27,27,4.12779858630219
7628309,1,2,1,1,5,6,1,27,27,4.12779858630219
7628313,1,1,1,1,4,4,1,27,27,4.81056106684218
7628318,1,1,1,1,5,1,1,27,27,4.94051071264047
7628329,1,2,1,1,3,1,1,27,27,3.33587993693819
7628329,1,3,2,1,3,1,1,27,27,3.33587993693819
7628349,1,1,1,4,1,3,1,41,41,9.91222545836116
7628351,1,1,1,2,5,1,1,41,41,9.11008210498986
7628354,1,6,1,1,2,1,1,41,41,12.4705920670721
7628356,1,1,1,2,4,1,1,41,41,12.0149650994211
7628359,1,2,1,1,3,1,1,41,41,12.1522912257562
7628361,1,1,1,5,5,1,1,41,41,9.05825252595211
7628364,1,2,1,1,1,1,1,41,41,6.82624901343939
7628368,1,1,1,1,5,2,1,41,41,11.2113249668484
7628368,1,2,1,2,5,2,1,41,41,11.2113249668484
7628372,1,1,1,1,3,6,1,41,41,9.50659889208344
7628386,1,1,1,1,1,2,1,41,41,8.30339814878944
7628389,1,1,1,1,2,1,1,41,41,10.2255799347192
7628397,1,1,1,1,3,1,1,41,41,6.74084170012273
7628398,1,1,1,2,2,1,1,41,41,19.0723111266749
7628403,1,1,1,1,5,1,1,41,41,8.30339814878944
7628408,1,2,1,2,3,2,1,41,41,28.0875654136605
7628414,1,1,1,4,2,2,1,41,41,17.8938947785871
7628423,1,2,1,2,5,3,1,41,41,22.182064081528
7628425,1,1,1,1,4,2,1,41,41,22.8229024346093
7628430,1,1,1,4,2,2,1,41,41,26.4072191446762
7628433,1,1,1,7,3,1,1,41,41,13.101466887802
7628440,1,1,1,3,4,1,1,44,44,14.3792677385563
7628442,1,1,1,2,5,1,1,44,44,7.28188428230854
7628451,1,2,1,2,3,1,1,44,44,5.48560455185312
7628451,1,6,1,3,5,1,1,44,44,5.48560455185312
7628454,1,1,1,5,5,3,1,44,44,6.97621113389226
7628456,1,1,1,3,5,1,1,44,44,7.84005772020129
7628457,1,1,1,2,4,1,1,44,44,11.3686403663429
7628459,1,2,1,2,2,1,1,44,44,7.86201920670592
7628460,1,1,1,2,4,6,1,44,44,9.44032105441955
7628460,1,2,1,2,4,1,1,44,44,9.44032105441955
7628468,1,1,1,2,1,1,1,44,44,5.16060054519585
7628469,1,2,1,5,5,1,1,44,44,4.47476484176994
7628473,1,1,1,2,5,1,1,44,44,5.47815389224596
7628477,1,2,1,2,3,1,1,44,44,4.39178456603457
7628480,1,1,1,5,5,1,1,44,44,12.6318226292699
7628486,1,1,1,5,5,1,1,44,44,3.73741554223471
7628490,1,1,1,1,4,1,1,44,44,5.18826946538987
7628492,1,2,1,2,5,1,1,44,44,5.6859492642937
7628495,1,2,1,2,4,1,1,44,44,12.2732524165163
7628496,1,1,1,2,5,1,1,44,44,8.68837812142439
7628501,1,2,1,1,4,1,1,47,47,11.8966519677593
7628506,1,2,1,2,4,1,1,47,47,19.3921747691191
7628511,1,3,1,5,3,1,1,47,47,19.3385055572239
7628521,1,1,1,1,5,1,1,47,47,25.6958502422195
7628525,1,1,1,1,5,1,1,47,47,12.8874375032581
7628537,1,1,1,1,4,1,1,50,50,16.93676435135
7628539,1,1,4,3,5,,1,50,50,15.8632522802308
7628545,1,1,1,1,4,3,1,50,50,15.8632522802308
7628547,1,2,1,2,5,6,1,50,50,26.4162268629404
7628548,1,2,1,2,3,3,1,50,50,17.8325261994017
7628555,1,3,1,1,5,1,1,50,50,21.4060224788835
7628558,1,1,1,2,4,1,1,50,50,20.9456735334957
7628559,1,2,1,1,2,1,1,50,50,19.6388799619288
7628569,1,2,1,1,5,2,1,50,50,22.5208601371801
7628571,1,1,1,4,5,2,1,50,50,25.7695612862276
7628579,1,1,5,1,2,,1,50,50,19.1080878772307
7628582,1,1,4,1,5,,1,50,50,15.8175460132532
7628583,1,1,1,5,5,1,1,50,50,21.6337040756637
7628584,1,1,1,2,2,1,1,50,50,16.6016948929763
7628584,1,2,1,2,3,3,1,50,50,16.6016948929763
7628586,1,1,1,2,1,2,1,50,50,12.4831383633256
7628592,1,2,1,2,5,1,1,50,50,18.6183764742184
7628597,1,1,1,2,5,6,1,50,50,24.3223112905891
7628598,1,1,1,2,5,3,1,50,50,29.7463431040376
7628604,1,2,1,5,2,1,1,50,50,23.7559558488615
7628610,1,1,1,1,3,2,1,50,50,28.5815743078893
7628614,1,2,1,4,1,6,1,50,50,25.3057315843244
7628619,1,1,1,4,3,1,1,50,50,28.187683230913
7628620,1,1,1,4,3,6,1,50,50,36.5351499748683
7628620,1,2,4,1,4,,1,50,50,36.5351499748683
7628635,1,1,1,1,5,3,1,52,"",21.5511690641487
7628638,1,1,1,2,5,1,1,52,"",13.188467565153
7628638,1,2,1,1,5,1,1,52,"",13.188467565153
7628644,1,1,1,1,5,1,1,52,"",34.3721128850724
7628646,1,2,2,1,4,8,1,52,"",23.9488513148573
7628647,1,1,1,1,5,1,1,52,"",25.0809959792375
7628655,1,1,1,5,5,3,1,52,52,10.9737929556122
7628657,1,1,1,2,2,1,1,52,52,8.50163325997833
7628657,1,2,1,2,3,1,1,52,52,8.50163325997833
7628657,1,3,1,2,3,1,1,52,52,8.50163325997833
7628663,1,1,2,1,3,2,1,52,52,6.74200908176101
